Market,Book,n,Reference exceedance,Recalibrated exceedance,Reference avg violation,Recalibrated avg violation,Reference pinball,Recalibrated pinball,Reference max roll50,Recalibrated max roll50
SPX,ATM straddle,1077,0.1949860724233983,0.1114206128133704,0.0132126115429824,0.0072937242618256,0.0268210847333112,0.0253456850756888,0.32,0.24
SPX,25d risk reversal,1106,0.1699819168173598,0.0985533453887884,0.0461957083503614,0.0397457502054261,0.0848173215688865,0.085001904218209,0.3,0.22
SPX,25d/10d put spread,978,0.147239263803681,0.1083844580777096,0.0046360995372053,0.0033854290792019,0.010325294004106,0.0101845535042433,0.36,0.26
QQQ,ATM straddle,1484,0.2210242587601078,0.1057951482479784,0.0143931097983208,0.0049493515619448,0.0257687402213631,0.0219085926249133,0.42,0.22
QQQ,25d risk reversal,1497,0.1763527054108216,0.1075484301937207,0.0061388291968637,0.0043903815784305,0.0107303797868036,0.0103357722960489,0.32,0.2
QQQ,25d/10d put spread,988,0.1680161943319838,0.1052631578947368,0.0052505130568707,0.0032267100080621,0.0080876840066734,0.0077134881740794,0.3,0.2
