Market,Book,n,Exceedance,p_UC,p_IND,p_CC
SPX,ATM straddle,1077,0.1114206128133704,0.2190072642517414,0.8502748866402112,0.4615113076413323
SPX,25d risk reversal,1106,0.0985533453887884,0.8723177594601033,0.0472759711916431,0.1379747637447528
SPX,25d/10d put spread,978,0.1083844580777096,0.3878386157753182,0.0429380682687084,0.0887640805145181
QQQ,ATM straddle,1484,0.1057951482479784,0.4605654513209931,0.3499478671491214,0.49209516686671
QQQ,25d risk reversal,1497,0.1075484301937207,0.3355585971890629,0.2115295078084985,0.2881924293272397
QQQ,25d/10d put spread,988,0.1052631578947368,0.5842123379551978,0.1057377904136448,0.2326698675911541
