variant,window,eta,QQQ_max_abs_exceedance_gap_across_books,SPX_max_abs_exceedance_gap_across_books,QQQ_max_roll50_exceedance_across_books,SPX_max_roll50_exceedance_across_books,QQQ_book_mean_avg_violation,SPX_book_mean_avg_violation,QQQ_book_mean_pinball_loss,SPX_book_mean_pinball_loss
W63_eta001,63,0.01,0.010323886639676108,0.009406952965235166,0.22,0.26,0.004294756186812497,0.015032390618799019,0.013469575822325006,0.040054364807453786
W126_eta000,126,0.0,0.008216432865731454,0.012349117920148561,0.24,0.28,0.004198595390819123,0.016971902881485153,0.013327053924680152,0.04028102184513855
W126_eta001_main,126,0.01,0.00754843019372077,0.011420612813370465,0.22,0.26,0.004188814382812514,0.01680830118215126,0.013319284365013909,0.04017738093271374
W126_eta003,126,0.03,0.010888443553774205,0.011451942740286297,0.2,0.22,0.004237640862411682,0.015897905239943416,0.013398908937375211,0.040380731815807466
W252_eta001,252,0.01,0.007142857142857131,0.012349117920148561,0.22,0.24,0.004246071734517104,0.0175146931302465,0.013336662769762378,0.04001042020473865
