book,n,lgbm_reference,historical,recalibrated
atm_straddle_30d,1077,0.1949860724233983,0.1030640668523676,0.1114206128133704
risk_reversal_25d_30d,1106,0.1699819168173598,0.1148282097649186,0.0985533453887884
short_put_spread_25delta_10delta_30d,978,0.147239263803681,0.0961145194274028,0.1083844580777096
