year,book_type,marking_mode,build_ok,mark_ok,reason,n
2022,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,154
2022,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,52
2022,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,45
2023,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,203
2023,atm_straddle_30d,robust_all,1,1,success,47
2023,atm_straddle_30d,strict_exact_contract,0,0,build_standard_book_failed,203
2023,atm_straddle_30d,strict_exact_contract,1,1,success,25
2023,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,22
2023,risk_reversal_25d_30d,robust_all,0,0,build_standard_book_failed,191
2023,risk_reversal_25d_30d,robust_all,1,1,success,58
2023,risk_reversal_25d_30d,robust_all,1,0,missing_option_mark,1
2023,risk_reversal_25d_30d,strict_exact_contract,0,0,build_standard_book_failed,191
2023,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,33
2023,risk_reversal_25d_30d,strict_exact_contract,1,1,success,26
2023,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,232
2023,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,13
2023,short_put_spread_25delta_10delta_30d,robust_all,1,0,missing_option_mark,5
2023,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,232
2023,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,10
2023,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,8
2024,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,219
2024,atm_straddle_30d,robust_all,1,1,success,33
2024,atm_straddle_30d,strict_exact_contract,0,0,build_standard_book_failed,219
2024,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,22
2024,atm_straddle_30d,strict_exact_contract,1,1,success,11
2024,risk_reversal_25d_30d,robust_all,0,0,build_standard_book_failed,212
2024,risk_reversal_25d_30d,robust_all,1,1,success,39
2024,risk_reversal_25d_30d,robust_all,1,0,missing_option_mark,1
2024,risk_reversal_25d_30d,strict_exact_contract,0,0,build_standard_book_failed,212
2024,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,23
2024,risk_reversal_25d_30d,strict_exact_contract,1,1,success,17
2024,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,228
2024,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,23
2024,short_put_spread_25delta_10delta_30d,robust_all,1,0,missing_option_mark,1
2024,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,228
