book_type,n_intersection,strict_base_exc,robust_base_exc,strict_conf_exc,robust_conf_exc,robust_minus_strict_conf_exc,strict_conf_viol,robust_conf_viol,strict_conf_pinball,robust_conf_pinball,mean_loss_diff,median_loss_diff,q05_loss_diff,q95_loss_diff,mean_abs_loss_diff,p90_abs_loss_diff,p95_abs_loss_diff,max_abs_loss_diff,mean_abs_conf_diff,p95_abs_conf_diff,max_abs_conf_diff,mean_pinball_conf_diff,conf_exceed_switch_rate,base_exceed_switch_rate,loss_corr_strict_robust,robust_approx_mark_share_intersection,book_quality_mode
atm_straddle_30d,835,0.20479041916167665,0.2,0.10658682634730539,0.11137724550898204,0.004790419161676648,0.00437054474435521,0.004169650885103177,0.014635585709648903,0.015816904261134464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028783125193095147,0.0827751885824951,0.606829205783705,0.0011813185514855632,0.045508982035928146,0.06946107784431138,1.0,0.0,loose
risk_reversal_25d_30d,750,0.15866666666666668,0.184,0.1,0.09866666666666667,-0.0013333333333333391,0.0023884390711707225,0.002297197655557298,0.005392441414264341,0.016083720277866916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11978260932049191,0.9267921267941551,2.390717073296974,0.010691278863602582,0.06533333333333333,0.12133333333333333,1.0,0.0,loose
short_put_spread_25delta_10delta_30d,784,0.1568877551020408,0.1747448979591837,0.09821428571428571,0.12627551020408162,0.028061224489795908,0.0033699327275140373,0.003980822986187682,0.007288410969141419,0.007283141931626636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01313969702580624,0.035433366960787055,0.08351043876951493,-5.269037514783259e-06,0.04336734693877551,0.04846938775510204,0.9999999999999998,0.0,loose
pooled,2369,0.17433516251582945,0.1865766146053187,0.10173068805403124,0.1122836639932461,0.010552975939214865,0.0034118874728938996,0.0035143613135923467,0.00927782158212831,0.013077200734842868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05241552933509306,0.14687407308556297,2.390717073296974,0.0037993791527145587,0.05107640354579992,0.07893626002532714,1.0,0.0,loose
