asset_ticker,asset_secid,experiment_id,experiment_group,book_type,crisis_n_days,crisis_exceedance_rate_base,crisis_exceedance_rate_hist,crisis_exceedance_rate_ewma,crisis_exceedance_rate_caviar,crisis_exceedance_rate_garch_t,crisis_exceedance_rate_conf,crisis_avg_loss_norm,crisis_avg_q_hat_base_raw,crisis_avg_q_hat_ref,crisis_avg_q_hat_core_op,crisis_avg_q_hat_rep,crisis_avg_q_hat_base,crisis_avg_q_hat_hist,crisis_avg_q_hat_ewma,crisis_avg_q_hat_caviar,crisis_avg_q_hat_garch_t,crisis_avg_buffer_t,crisis_avg_var_conf_raw,crisis_avg_var_conf,crisis_avg_violation_conf,marking_mode,book_quality_mode_spec,var_floor_value,base_model_kind_requested
SPX,,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,30,0.1,0.16666666666666666,,,,0.1,-0.15656413674833447,0.22250570689417368,0.22250570689417368,0.252463590951672,0.252463590951672,0.22250570689417368,0.14802210142399755,,,,0.029957884057498343,0.252463590951672,0.252463590951672,0.0027455121087439196,robust_all,strict_economic,0.0,lightgbm
SPX,,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,13,0.23076923076923078,0.23076923076923078,,,,0.23076923076923078,-1.2219835736789835,0.03901786854981438,0.03901786854981438,0.059080325353814495,0.059080325353814495,0.03901786854981438,0.04464940090278921,,,,0.02006245680400011,0.059080325353814495,0.059080325353814495,0.01871918211835318,robust_all,strict_economic,0.0,lightgbm
SPX,,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,short_put_spread_25delta_10delta_30d,24,0.20833333333333334,0.2916666666666667,,,,0.20833333333333334,-0.04831531027428245,0.048083082634982954,0.04815270789882583,0.07614232298257384,0.07614232298257384,0.04815270789882583,0.041103881714258134,,,,0.027989615083748004,0.07614232298257384,0.07614232298257384,0.012555215561789306,robust_all,strict_economic,0.0,lightgbm
SPX,,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,32,0.1875,0.15625,,,,0.125,-0.16460136086634378,0.16025522575715911,0.16025522575715911,0.2008724956429653,0.2008724956429653,0.16025522575715911,0.14497453802295812,,,,0.040617269885806204,0.2008724956429653,0.2008724956429653,0.007222082005434794,robust_all,loose,0.0,gbr
SPX,,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,32,0.125,0.125,,,,0.125,-0.6731335148300183,0.06670074219634056,0.06801226902849061,0.08770991943973352,0.08770991943973352,0.06801226902849061,0.044212230975672666,,,,0.019697650411242926,0.08770991943973352,0.08770991943973352,0.015442114352778457,robust_all,loose,0.0,gbr
SPX,,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,34,0.17647058823529413,0.20588235294117646,,,,0.14705882352941177,-0.05051513189786111,0.033897030352693445,0.03726364851170706,0.05512822320661605,0.05512822320661605,0.03726364851170706,0.04169187245397918,,,,0.017864574694908993,0.05512822320661605,0.05512822320661605,0.010570293769248122,robust_all,loose,0.0,gbr
SPX,,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,32,0.15625,0.15625,,,,0.15625,-0.16460136086634378,0.16544473636895418,0.16544473636895418,0.2054236473532023,0.2054236473532023,0.16544473636895418,0.14497453802295812,,,,0.039978910984248106,0.2054236473532023,0.2054236473532023,0.005573632546532859,robust_all,loose,0.0,xgboost
SPX,,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,32,0.125,0.125,,,,0.125,-0.6731335148300183,0.08435996065963991,0.0852954032307025,0.10658699745853803,0.10658699745853803,0.0852954032307025,0.044212230975672666,,,,0.021291594227835515,0.10658699745853803,0.10658699745853803,0.014771404904114053,robust_all,loose,0.0,xgboost
SPX,,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,34,0.17647058823529413,0.20588235294117646,,,,0.14705882352941177,-0.05051513189786111,0.03706564561306389,0.04035746869254474,0.05854426023133582,0.05854426023133582,0.04035746869254474,0.04169187245397918,,,,0.018186791538791092,0.05854426023133582,0.05854426023133582,0.012025173365091166,robust_all,loose,0.0,xgboost
SPX,,main_lightgbm_robust_all_floor_0p0_quality_loose,main,atm_straddle_30d,32,0.15625,0.15625,0.15625,0.03125,0.0,0.125,-0.16460136086634378,0.15981432131079662,0.15981432131079662,0.20307301449815934,0.20307301449815934,0.15981432131079662,0.14497453802295812,0.14367415178695436,0.2603672396726679,0.3910882206977153,0.043258693187362744,0.20307301449815934,0.20307301449815934,0.007348845733787999,robust_all,loose,0.0,lightgbm
