asset_ticker,asset_secid,year,n_days,empirical_exceedance_rate_base,empirical_exceedance_rate_hist,empirical_exceedance_rate_ewma,empirical_exceedance_rate_caviar,empirical_exceedance_rate_garch_t,empirical_exceedance_rate_conf,avg_loss_norm,avg_q_hat_base_raw,avg_q_hat_ref,avg_q_hat_core_op,avg_q_hat_rep,avg_q_hat_base,avg_q_hat_hist,avg_q_hat_ewma,avg_q_hat_caviar,avg_q_hat_garch_t,avg_buffer_t,avg_var_conf_raw,avg_var_conf,avg_violation_ewma,avg_violation_caviar,avg_violation_garch_t,avg_violation_conf,avg_pinball_base,avg_pinball_hist,avg_pinball_ewma,avg_pinball_caviar,avg_pinball_garch_t,avg_pinball_conf,quality_strict_pass_share,p95_book_quality_max_abs_k_t,p95_book_quality_max_abs_dte_error_t,n_route_a_changed,experiment_id,experiment_group,book_type,book_quality_mode
SPX,,2019,83,0.1566265060240964,0.08433734939759036,,,,0.10843373493975904,0.02318887930719951,0.11790392720646325,0.11790392720646325,0.13582342044764564,0.13582342044764564,0.11790392720646325,0.16830612436477055,,,,0.017919493241182388,0.13582342044764564,0.13582342044764564,,,,0.004501048988265138,0.015550977812196437,0.0188794937691766,,,,0.01576450310230975,1.0,0.0390318813323563,1.0,0,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,strict_economic
SPX,,2020,202,0.18811881188118812,0.04950495049504951,,,,0.10891089108910891,-0.10065103324502685,0.07738074516152815,0.07748377632229396,0.10664358176489364,0.10664358176489364,0.07748377632229396,0.13392701048144828,,,,0.029159805442599683,0.10664358176489364,0.10664358176489364,,,,0.004500782086013141,0.026223194820856742,0.026734131118710272,,,,0.025230243587005187,1.0,0.03485536802187625,2.0,3,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,strict_economic
SPX,,2021,220,0.2545454545454545,0.1,,,,0.10909090909090909,-0.052313415649580176,0.04493873250303807,0.044962198512356666,0.0720322472832302,0.0720322472832302,0.044962198512356666,0.07884948562194168,,,,0.02707004877087353,0.0720322472832302,0.0720322472832302,,,,0.0038195458446261582,0.01815595009429689,0.017323892720988922,,,,0.016254112137907194,1.0,0.03556830788197964,2.0,1,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,strict_economic
SPX,,2022,174,0.22413793103448276,0.20114942528735633,,,,0.09770114942528736,-0.009219131832493862,0.09185183496104031,0.09185183496104031,0.14083385173596158,0.14083385173596158,0.09185183496104031,0.09684648908746055,,,,0.04898201677492127,0.14083385173596158,0.14083385173596158,,,,0.005089713178692869,0.02225858762947119,0.021157893487512573,,,,0.020095011535538408,1.0,0.03459602437859945,2.0,0,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,strict_economic
SPX,,2023,2,0.0,0.0,,,,0.0,0.01811992177312989,0.13527170338375147,0.13527170338375147,0.16942816493874846,0.16942816493874846,0.13527170338375147,0.1278633325418387,,,,0.034156461554997,0.16942816493874846,0.16942816493874846,,,,0.0,0.011715178161062155,0.01097434107687088,,,,0.015130824316561852,1.0,0.023637583061020956,1.9,0,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,strict_economic
SPX,,2025,1,1.0,1.0,,,,1.0,0.4098622150105883,0.14045773732176253,0.14045773732176253,0.17461419887675952,0.17461419887675952,0.14045773732176253,0.1278633325418387,,,,0.034156461554997,0.17461419887675952,0.17461419887675952,,,,0.23524801613382876,0.24246402991994317,0.25379899422187463,,,,0.21172321452044587,1.0,0.04883837751204333,0.0,0,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,strict_economic
SPX,,2019,211,0.20853080568720378,0.06635071090047394,,,,0.10426540284360189,-0.03832943974561864,0.03329723379564894,0.03371446873996728,0.048099503274223215,0.048099503274223215,0.03371446873996728,0.05451005461892729,,,,0.014385034534255936,0.048099503274223215,0.048099503274223215,,,,0.008147758459114902,0.017489017117878775,0.016975461135735257,,,,0.016790652761099086,1.0,0.18160644546665727,2.0,20,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
SPX,,2020,126,0.20634920634920634,0.09523809523809523,,,,0.11904761904761904,-0.8502664830490979,0.02059065817154866,0.022002338900827756,0.0371008552816177,0.0371008552816177,0.022002338900827756,0.04256704142163511,,,,0.015098516380789946,0.0371008552816177,0.0371008552816177,,,,0.003856622175446885,0.09321907100042255,0.09286432037671444,,,,0.09259335600851844,1.0,0.1212595235847897,2.0,19,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
SPX,,2021,141,0.20567375886524822,0.06382978723404255,,,,0.07092198581560284,-0.6935703945854623,0.01332697991750017,0.014096749194181399,0.0242903653435761,0.0242903653435761,0.014096749194181399,0.030218935345718047,,,,0.010193616149394699,0.0242903653435761,0.0242903653435761,,,,0.0017420404723449774,0.07381936690276483,0.0740366396838143,,,,0.07352811646524879,1.0,0.09916995007273437,2.0,25,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
SPX,,2022,144,0.1597222222222222,0.19444444444444445,,,,0.1388888888888889,-0.18869907978006614,0.1444207749617345,0.14685554495162248,0.16013936946748883,0.16013936946748883,0.14685554495162248,0.025679186008757925,,,,0.013283824515866348,0.16013936946748883,0.16013936946748883,,,,0.15571606049823963,0.19182362931695288,0.20778659917967485,,,,0.19059990542299513,1.0,0.192948743899218,2.0,39,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
