book_type,method,method_suffix,n_backtest_days,target_exceedance_alpha,empirical_exceedance_rate,exceedance_gap,abs_exceedance_gap,avg_violation,avg_violation_per_exceedance,avg_pinball_loss,max_roll50_exceedance,crisis_n_days,crisis_exceedance_rate,avg_threshold,std_threshold,p05_threshold,p95_threshold,book_quality_mode
atm_straddle_30d,Historical VaR,hist,1484,0.1,0.1293800539083558,0.029380053908355797,0.029380053908355797,0.011288017650104645,0.08724696975393381,0.031051055937875927,0.36,39,0.05128205128205128,0.26538423426259033,0.16490831066341166,0.07211943970645991,0.5690017505904343,loose
atm_straddle_30d,EWMA Historical VaR,ewma,1484,0.1,0.10849056603773585,0.008490566037735847,0.008490566037735847,0.007304873123743297,0.0673318740101556,0.027757274669927317,0.22,39,0.05128205128205128,0.2722778668467177,0.17625579616677964,0.06417686198755101,0.5917607354823693,loose
atm_straddle_30d,CAViaR,caviar,1484,0.1,0.11994609164420485,0.01994609164420484,0.01994609164420484,0.009500433846428465,0.0792058642028081,0.029744865172375803,0.38,39,0.05128205128205128,0.2701981646443509,0.1805207305214641,0.06429859115718661,0.5965949511849036,loose
atm_straddle_30d,GARCH-t VaR,garch_t,1484,0.1,0.11859838274932614,0.01859838274932614,0.01859838274932614,0.012455719708748767,0.10502436390785892,0.030907767518458664,0.36,39,0.05128205128205128,0.25227432948197653,0.1335687004926832,0.07827171512967619,0.4933741725932965,loose
atm_straddle_30d,LightGBM Quantile,base,1484,0.1,0.2210242587601078,0.1210242587601078,0.1210242587601078,0.014393109798320845,0.06512004555093943,0.025768740221363162,0.42,39,0.15384615384615385,0.18151015561530068,0.13995673970603806,0.04118277700577294,0.5141446719038113,loose
atm_straddle_30d,LightGBM + Calibration,conf,1484,0.1,0.10579514824797843,0.005795148247978429,0.005795148247978429,0.004949351561944895,0.046782405846663856,0.02190859262491337,0.22,39,0.07692307692307693,0.23734626201456224,0.16469370454230375,0.052388169245208435,0.6091351966791811,loose
risk_reversal_25d_30d,Historical VaR,hist,1497,0.1,0.10420841683366733,0.004208416833667322,0.004208416833667322,0.0050028900595697,0.048008502687024626,0.01063828758745168,0.32,39,0.23076923076923078,0.04053479377017352,0.006093874815650816,0.028987565442074693,0.05479391363481385,loose
risk_reversal_25d_30d,EWMA Historical VaR,ewma,1497,0.1,0.10354041416165664,0.003540414161656638,0.003540414161656638,0.004562213524095158,0.04406215255206743,0.010430808160945425,0.24,39,0.23076923076923078,0.0428667648598564,0.017612179849535944,0.021634965052900645,0.08128621640488319,loose
risk_reversal_25d_30d,CAViaR,caviar,1492,0.1,0.10723860589812333,0.007238605898123321,0.007238605898123321,0.004716768693376361,0.043983868065734566,0.010538434474892071,0.28,39,0.15384615384615385,0.042363941113733004,0.02086516577368264,0.02069505538713666,0.07679522243778135,loose
risk_reversal_25d_30d,GARCH-t VaR,garch_t,1497,0.1,0.09485637942551771,-0.005143620574482297,0.005143620574482297,0.004492218336525511,0.04735810457590626,0.01114549580074619,0.28,39,0.20512820512820512,0.05071359313356051,0.03570842211950895,0.028258039568058425,0.09450635389326066,loose
