year,stage,n_raw,n_after_stage,share_of_raw,dropped_at_stage,drop_rate_from_prev
2024,bid_positive,1941114,534283,0.27524555487209923,16687,0.03028658547652322
2024,offer_gt_bid,1941114,534197,0.27520125041599824,86,0.0001609633845733441
2024,mid_gt_min,1941114,510616,0.263053071586728,23581,0.04414289110571568
2024,forward_ok,1941114,510616,0.263053071586728,0,0.0
2024,k_window,1941114,91747,0.047265127138333966,418869,0.8203209456812948
2024,iv_positive,1941114,82035,0.04226181460748828,9712,0.10585632227756765
2024,spread_ok,1941114,81562,0.04201814009893288,473,0.005765831657219479
2024,activity_ok,1941114,71035,0.036594965571316265,10527,0.12906745788479929
2025,underlying,1366003,1366003,1.0,0,0.0
2025,date_exdate_ok,1366003,1366003,1.0,0,0.0
2025,cp_ok,1366003,1366003,1.0,0,0.0
2025,spot_ok,1366003,1366003,1.0,0,0.0
2025,dte_window,1366003,391938,0.2869232351612698,974065,0.7130767648387302
2025,bid_positive,1366003,388639,0.2845081599381553,3299,0.008417147610081187
2025,offer_gt_bid,1366003,388473,0.284386637511045,166,0.00042713160542302755
2025,mid_gt_min,1366003,372028,0.27234786453616866,16445,0.04233241435054688
2025,forward_ok,1366003,372028,0.27234786453616866,0,0.0
2025,k_window,1366003,91046,0.06665139095594959,280982,0.7552711086262325
2025,iv_positive,1366003,77756,0.05692227615898354,13290,0.14597016892559805
2025,spread_ok,1366003,76285,0.05584541175971063,1471,0.018918154226040436
2025,activity_ok,1366003,67177,0.049177783650548354,9108,0.1193943763518385
