experiment_group,experiment_id,book_quality_mode,book_type,n_backtest_days,strict_quality_pass_share,median_max_abs_k,p90_max_abs_k,p95_max_abs_k,median_max_abs_dte_error,p95_max_abs_dte_error,median_atm_max_abs_k,p95_atm_max_abs_k,median_rr_max_delta_error,p95_rr_max_delta_error,median_putspread_max_delta_error,p95_putspread_max_delta_error,empirical_exceedance_rate_conf,avg_pinball_conf,avg_threshold_conf
book_quality_robustness,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,strict_economic,atm_straddle_30d,374,1.0,0.0009654799779211273,0.004553112591064544,0.010218555832253153,1.0,2.0,0.0009654799779211273,0.010218555832253153,,,,,0.13101604278074866,0.016121028684232295,0.10768737203126853
book_quality_robustness,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,strict_economic,risk_reversal_25d_30d,1005,1.0,0.11360039844188023,0.26237332135935404,0.32101680392297266,1.0,2.0,,,0.006111000000000005,0.021368399999999985,,,0.10646766169154229,0.006692075854273435,0.03951371655355117
book_quality_robustness,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,strict_economic,short_put_spread_25delta_10delta_30d,958,1.0,0.1860344551230573,0.3016329015391027,0.3329931382657767,1.0,2.0,,,,,0.0042200000000000085,0.022817049999999957,0.10334029227557412,0.007827715033710644,0.04404890624168774
learner_robustness,learner_gbr_robust_all_floor_0p0_quality_loose,loose,atm_straddle_30d,1484,0.41509433962264153,0.09979525744889033,0.321999033015305,0.3383685467563011,1.0,2.0,0.09979525744889033,0.3383685467563011,,,,,0.10983827493261455,0.022216732601483546,0.23945750424389683
learner_robustness,learner_gbr_robust_all_floor_0p0_quality_loose,loose,risk_reversal_25d_30d,1497,0.6720106880427522,0.22141244788632794,0.34912139646266976,0.3495701495226154,1.0,2.0,,,0.00920399999999999,0.6974530000000001,,,0.10821643286573146,0.010322825707110772,0.04360773146061593
learner_robustness,learner_gbr_robust_all_floor_0p0_quality_loose,loose,short_put_spread_25delta_10delta_30d,988,0.9696356275303644,0.19228151300743357,0.31494069150145576,0.3432908190422072,1.0,2.0,,,,,0.004348999999999992,0.06759574999999997,0.09817813765182186,0.007736067804398745,0.042188895066986434
learner_robustness,learner_xgboost_robust_all_floor_0p0_quality_loose,loose,atm_straddle_30d,1484,0.41509433962264153,0.09979525744889033,0.321999033015305,0.3383685467563011,1.0,2.0,0.09979525744889033,0.3383685467563011,,,,,0.10646900269541779,0.0219624286267704,0.23902982434747416
learner_robustness,learner_xgboost_robust_all_floor_0p0_quality_loose,loose,risk_reversal_25d_30d,1497,0.6720106880427522,0.22141244788632794,0.34912139646266976,0.3495701495226154,1.0,2.0,,,0.00920399999999999,0.6974530000000001,,,0.11088844355377421,0.010472292972021138,0.04625295849996776
learner_robustness,learner_xgboost_robust_all_floor_0p0_quality_loose,loose,short_put_spread_25delta_10delta_30d,988,0.9696356275303644,0.19228151300743357,0.31494069150145576,0.3432908190422072,1.0,2.0,,,,,0.004348999999999992,0.06759574999999997,0.09919028340080972,0.007833720853459432,0.04357153152263892
main,main_lightgbm_robust_all_floor_0p0_quality_loose,loose,atm_straddle_30d,1484,0.41509433962264153,0.09979525744889033,0.321999033015305,0.3383685467563011,1.0,2.0,0.09979525744889033,0.3383685467563011,,,,,0.10579514824797843,0.02190859262491337,0.23734626201456224
