asset_ticker,asset_secid,year,n_days,empirical_exceedance_rate_base,empirical_exceedance_rate_hist,empirical_exceedance_rate_ewma,empirical_exceedance_rate_caviar,empirical_exceedance_rate_garch_t,empirical_exceedance_rate_conf,avg_loss_norm,avg_q_hat_base_raw,avg_q_hat_ref,avg_q_hat_core_op,avg_q_hat_rep,avg_q_hat_base,avg_q_hat_hist,avg_q_hat_ewma,avg_q_hat_caviar,avg_q_hat_garch_t,avg_buffer_t,avg_var_conf_raw,avg_var_conf,avg_violation_ewma,avg_violation_caviar,avg_violation_garch_t,avg_violation_conf,avg_pinball_base,avg_pinball_hist,avg_pinball_ewma,avg_pinball_caviar,avg_pinball_garch_t,avg_pinball_conf,quality_strict_pass_share,p95_book_quality_max_abs_k_t,p95_book_quality_max_abs_dte_error_t,n_route_a_changed,experiment_id,experiment_group,book_type,book_quality_mode
QQQ,107899,2021,227,0.20704845814977973,0.11894273127753303,,,,0.13215859030837004,0.009333736538720987,0.05867362323043837,0.05867362323043837,0.07161652207966922,0.07161652207966922,0.05867362323043837,0.07493739170336176,,,,0.012942898849230859,0.07161652207966922,0.07161652207966922,,,,0.0037536185493230617,0.010561569563479025,0.011440736593818227,,,,0.009981897103417885,1.0,0.003723477393177699,2.0,0,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,strict_economic
QQQ,107899,2022,147,0.22448979591836735,0.2925170068027211,,,,0.1292517006802721,-0.010669199499359272,0.13233244391485147,0.13233244391485147,0.16338861651435047,0.16338861651435047,0.13233244391485147,0.10984089898357915,,,,0.031056172599499,0.16338861651435047,0.16338861651435047,,,,0.008195402653234606,0.028152859042838135,0.029978642191697342,,,,0.025601184254605575,1.0,0.038185826887835644,1.6999999999999886,0,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,strict_economic
QQQ,107899,2019,250,0.192,0.096,,,,0.112,-0.0016554508802705357,0.02443679265141017,0.024439292867087414,0.03907305002804008,0.03907305680855264,0.024439292867087414,0.04100269214794512,,,,0.014633757160952667,0.03907305002804008,0.03907305680855264,,,,0.002041771836807065,0.006574113620274916,0.005868224863501115,,,,0.006114622605689382,1.0,0.26154175473621355,2.0,2,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
QQQ,107899,2020,252,0.21428571428571427,0.1111111111111111,,,,0.11507936507936507,-0.00395380726244484,0.026531471821136906,0.02657216725585189,0.04301622680538749,0.04301622680538749,0.02657216725585189,0.04279659502381359,,,,0.016444059549535598,0.04301622680538749,0.04301622680538749,,,,0.0029421159283182013,0.008399203035483284,0.008066803071287725,,,,0.007639119335101433,1.0,0.18953564763507774,2.0,4,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
QQQ,107899,2021,252,0.1746031746031746,0.09523809523809523,,,,0.10317460317460317,-0.0011677967556301344,0.026981516983112897,0.02698681748348003,0.040057909056880656,0.040057909056880656,0.02698681748348003,0.04202067905795201,,,,0.013071091573400624,0.040057909056880656,0.040057909056880656,,,,0.0017747088424267944,0.006224348775426671,0.005885243118682148,,,,0.005897279423677872,1.0,0.08461449029681473,2.0,2,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
QQQ,107899,2022,239,0.16736401673640167,0.07112970711297072,,,,0.100418410041841,-0.007150459936312198,0.02304057935657504,0.02306692852494793,0.03473247026139131,0.03473247026139131,0.02306692852494793,0.03534173912150829,,,,0.011665541736443383,0.03473247026139131,0.03473247026139131,,,,0.0029686135897720304,0.007302046560204776,0.007138940401260981,,,,0.007156906609542381,1.0,0.3464897144620059,2.0,3,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
QQQ,107899,2023,10,0.0,0.1,,,,0.0,0.0010880818469736517,0.044235555298638506,0.044235555298638506,0.06136285123698328,0.06136285123698328,0.044235555298638506,0.03295282597513504,,,,0.01712729593834477,0.06136285123698328,0.06136285123698328,,,,0.0,0.004314747345166485,0.004538131606016478,,,,0.0060274769390009615,1.0,0.3495861696469057,2.549999999999999,0,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
QQQ,107899,2025,2,0.0,0.0,,,,0.0,-0.02783833317375131,0.03162906487020587,0.03162906487020587,0.046824896023416246,0.046824896023416246,0.03162906487020587,0.03150736983274342,,,,0.015195831153210373,0.046824896023416246,0.046824896023416246,,,,0.0,0.005946739804395716,0.0059345703006494725,,,,0.0074663229197167525,1.0,0.34947182419073086,3.0,0,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,strict_economic
QQQ,107899,2019,250,0.172,0.076,,,,0.116,-0.0018191052461359854,0.026595338881769216,0.02662317036891985,0.03724589981943475,0.037313864315166055,0.02662317036891985,0.03988827384910858,,,,0.010622729450514894,0.03724589981943475,0.037313864315166055,,,,0.003682174917587166,0.007803289125284632,0.007080298009396216,,,,0.007595471873717369,1.0,0.316961456081972,2.0,2,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,short_put_spread_25delta_10delta_30d,strict_economic
QQQ,107899,2020,249,0.18072289156626506,0.12048192771084337,,,,0.10441767068273092,0.0017155216151343595,0.032736767675864205,0.032759249619739805,0.05154065559688001,0.05154065559688001,0.032759249619739805,0.04053744621379944,,,,0.018781405977140207,0.05154065559688001,0.05154065559688001,,,,0.0032888767004129013,0.009067662050035416,0.008146024009634115,,,,0.008271390098587465,1.0,0.2807339021700189,2.0,2,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,short_put_spread_25delta_10delta_30d,strict_economic
