year,book_type,marking_mode,build_ok,mark_ok,reason,n
2024,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,2
2025,atm_straddle_30d,robust_all,1,1,success,159
2025,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,5
2025,atm_straddle_30d,strict_exact_contract,1,1,success,88
2025,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,71
2025,atm_straddle_30d,strict_exact_contract,0,0,build_standard_book_failed,5
2025,risk_reversal_25d_30d,robust_all,1,1,success,161
2025,risk_reversal_25d_30d,robust_all,0,0,build_standard_book_failed,3
2025,risk_reversal_25d_30d,strict_exact_contract,1,1,success,138
2025,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,23
2025,risk_reversal_25d_30d,strict_exact_contract,0,0,build_standard_book_failed,3
2025,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,163
2025,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,1
2025,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,163
2025,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,1
