book_type,n_intersection,strict_base_exc,robust_base_exc,strict_conf_exc,robust_conf_exc,robust_minus_strict_conf_exc,strict_conf_viol,robust_conf_viol,strict_conf_pinball,robust_conf_pinball,mean_loss_diff,median_loss_diff,q05_loss_diff,q95_loss_diff,mean_abs_loss_diff,p90_abs_loss_diff,p95_abs_loss_diff,max_abs_loss_diff,mean_abs_conf_diff,p95_abs_conf_diff,max_abs_conf_diff,mean_pinball_conf_diff,conf_exceed_switch_rate,base_exceed_switch_rate,loss_corr_strict_robust,robust_approx_mark_share_intersection,book_quality_mode
atm_straddle_30d,1067,0.18744142455482662,0.15557638238050608,0.10590440487347703,0.07872539831302718,-0.02717900656044986,0.003929461473542581,0.002552251258070924,0.016016246776993974,0.0192828074036124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052126786768504796,0.2474381825065962,0.5641532277642389,0.0032665606266184264,0.04029990627928772,0.05060918462980318,1.0,0.0,loose
risk_reversal_25d_30d,1364,0.18841642228739003,0.16422287390029325,0.10117302052785923,0.09310850439882698,-0.008064516129032251,0.0018496407739952332,0.0016227193850157815,0.005608746686513403,0.006209473947904334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012615760353454544,0.06211818207082467,0.18693084971183174,0.000600727261390931,0.038856304985337244,0.06818181818181818,1.0,0.0,loose
short_put_spread_25delta_10delta_30d,960,0.17708333333333334,0.171875,0.1,0.10729166666666666,0.007291666666666655,0.003302977749900794,0.0033198309589465105,0.007720680677313239,0.007720044443309172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065996154300728156,0.018513683742022235,0.06741979607607813,-6.362340040663794e-07,0.026041666666666668,0.034375,1.0,0.0,loose
pooled,3391,0.18490120908286642,0.1636685343556473,0.1023296962547921,0.09259805367148334,-0.009731642583308761,0.002915512842201178,0.002395658818670555,0.009481427083950918,0.010750728584539295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02334497476171528,0.10192441672154759,0.5641532277642389,0.0012693015005883772,0.035682689472132115,0.05308168681804777,0.9999999999999998,0.0,loose
